ScientificName	Country	StateProvince	FPNW2ndEdition	FPNW1stEdition	AcceptedFamily	AcceptedScientificName	SpeciesAuthors	InfraspeciesAuthors	MisappliedTo/SeeAlso	Comments
Cotoneaster horizontalis	Canada	British Columbia	Cotoneaster horizontalis		Rosaceae	Cotoneaster horizontalis	Decne.			
Carex lenticularis	Canada	British Columbia	Carex kelloggii	Carex lenticularis	Cyperaceae	Carex kelloggii	W. Boott		Carex kelloggii	Carex lenticularis has been misapplied to Carex kelloggii in Flora PNW 1st Edition.
Packera macounii	Canada	British Columbia	Packera macounii	Senecio macounii	Asteraceae	Packera macounii	(Greene) W.A. Weber & Á. Löve			
Campanula medium	Canada	British Columbia	Campanula medium	Campanula medium	Campanulaceae	Campanula medium	L.			
Lycopus americanus	Canada	British Columbia	Lycopus americanus	Lycopus americanus	Lamiaceae	Lycopus americanus	Muhl. ex W.P.C. Bartr.			
Holcus lanatus	Canada	British Columbia	Holcus lanatus	Holcus lanatus	Poaceae	Holcus lanatus	L.			
Pseudotsuga menziesii	Canada	British Columbia	Pseudotsuga menziesii	Pseudotsuga menziesii	Pinaceae	Pseudotsuga menziesii	(Mirb.) Franco			
Hypochaeris radicata	Canada	British Columbia	Hypochaeris radicata	Hypochaeris radicata	Asteraceae	Hypochaeris radicata	L.			
Bromus tectorum	Canada	British Columbia	Bromus tectorum	Bromus tectorum	Poaceae	Bromus tectorum	L.			
Prunella vulgaris	Canada	British Columbia	Prunella vulgaris	Prunella vulgaris	Lamiaceae	Prunella vulgaris	L.			
Carex exsiccata	Canada	British Columbia	Carex exsiccata	Carex vesicaria var. major	Cyperaceae	Carex exsiccata	L.H. Bailey			
Tsuga heterophylla	Canada	British Columbia	Tsuga heterophylla	Tsuga heterophylla	Pinaceae	Tsuga heterophylla	(Raf.) Sarg.			
Arbutus menziesii	Canada	British Columbia	Arbutus menziesii	Arbutus menziesii	Ericaceae	Arbutus menziesii	Pursh			
Lonicera hispidula	Canada	British Columbia	Lonicera hispidula	Lonicera hispidula	Caprifoliaceae	Lonicera hispidula	(Lindl.) Douglas ex Torr. & A. Gray			
Cichorium intybus	Canada	British Columbia	Cichorium intybus	Cichorium intybus	Asteraceae	Cichorium intybus	L.			
Tragopogon dubius	Canada	British Columbia	Tragopogon dubius	Tragopogon dubius	Asteraceae	Tragopogon dubius	Scop.			
Melilotus albus	Canada	British Columbia	Melilotus albus	Melilotus alba	Fabaceae	Melilotus albus	Medik.			
Picea sitchensis	Canada	British Columbia	Picea sitchensis	Picea sitchensis	Pinaceae	Picea sitchensis	(Bong.) Carrière			
Oplopanax horridus	Canada	British Columbia	Oplopanax horridus	Oplopanax horridum	Araliaceae	Oplopanax horridus	(Sm.) Miq.			
Comarum palustre	Canada	British Columbia	Comarum palustre	Potentilla palustris	Rosaceae	Comarum palustre	L.			
Lysichiton americanus	Canada	British Columbia	Lysichiton americanus	Lysichitum americanum	Araceae	Lysichiton americanus	Hulten & H. St. John			
Carex obnupta	Canada	British Columbia	Carex obnupta	Carex obnupta	Cyperaceae	Carex obnupta	L.H. Bailey			
Rubus spectabilis	Canada	British Columbia	Rubus spectabilis	Rubus spectabilis	Rosaceae	Rubus spectabilis	Pursh			
Polystichum	Canada	British Columbia	Polystichum	Polystichum	Dryopteridaceae	Polystichum				
Athyrium filix-femina	Canada	British Columbia	Athyrium filix-femina	Athyrium filix-femina	Athyriaceae	Athyrium filix-femina	(L.) Roth ex Mertens			
Dryopteris expansa	Canada	British Columbia	Dryopteris expansa	Dryopteris austriaca	Dryopteridaceae	Dryopteris expansa	(C. Presl) Fraser-Jenk. & Jermy		Dryopteris expansa	Dryopteris expansa has been misapplied to Dryopteris expansa in Flora PNW 1st Edition.
Lycopus uniflorus	Canada	British Columbia	Lycopus uniflorus	Lycopus uniflorus	Lamiaceae	Lycopus uniflorus	Michx.			
Juncus ensifolius	Canada	British Columbia	Juncus ensifolius	Juncus ensifolius	Juncaceae	Juncus ensifolius	Wikstr.			
Kalmia polifolia	Canada	British Columbia			Ericaceae	Kalmia polifolia	Wangenh.			
Ranunculus flammula	Canada	British Columbia	Ranunculus flammula	Ranunculus flammula	Ranunculaceae	Ranunculus flammula	L.			
Carex lasiocarpa	Canada	British Columbia	Carex lasiocarpa	Carex lasiocarpa	Cyperaceae	Carex lasiocarpa	Ehrh.			
