[pageNum],[numPage],[vName],[vSciName],[conf],[sciName],[date],[locality],[country],[stateProvince],[island],idQualifier,county,occStatus,habitat,assColl,assCollTaxa,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,11,Saxi int,Saxifraga integrifolia,m,Micranthes integrifolia,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,poly 15.2,species,,,,,,,abundant,qualitative,,,Harvey Janszen,,
1,12,Saxi ruf,Saxifraga rufidula,m,Micranthes rufidula,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,no usual travel off,,Harvey Janszen,,
2,1,Gera mol,Geranium molle,h,Geranium molle,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,2,Saxi int,Saxifraga integrifolia,m,Micranthes integrifolia,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,3,Saxi ruf,Saxifraga rufidula,m,Micranthes rufidula,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,4,Mimu gut,Mimulus guttata,h,Erythranthe guttata,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,5,Litho par,Lithophragma parviflorum,h,Lithophragma parviflorum,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,6,Tori jap,Torilis japonica,h,Torilis japonica,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,7,Clay par ,Claytonia perfoliata,h,Claytonia perfoliata,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,8,Mont fon,Montia fontana,m,Montia fontana,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,9,Gera mol,Geranium molle,h,Geranium molle,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,10,Nemo par,Nemophila parviflora,h,Nemophila parviflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
2,11,Cama lei,Camassia leichtlinii,l,Camassia leichtlinii,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,ledges,,,,species,,,,,,,,,,,Harvey Janszen,,Unsure if Leichtlin's Camas or Suksdorf's Large Camas
2,12,Alli sps,Allium,l,Allium,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,ledges,,,,genus,,,,,,,,,,,Harvey Janszen,,
2,13,Symp alb,Symphoricarpos albus,l,Symphoricarpos albus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,base,,,,species,,,,,,,,,,,Harvey Janszen,,
2,14,Sat doug,Satureja douglasii,h,Clinopodium douglasii,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,shade,,,,species,,,,,,,,,,,Harvey Janszen,,
2,15,Sela wal ,Selaginella wallacei,h,Selaginella wallacei,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,"steep. poly 20, plot confar cliff? 260 degrees",species,,,,,,,,,,,Harvey Janszen,,unable to decipher location remark
2,16,Raco het,Racomitrium heterostichum,m,Racomitrium heterostichum,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,"steep. poly 20, plot confar cliff? 260 degrees",species,,,,,,,,,,,Harvey Janszen,,unable to decipher location remark
2,17,Bro clayt sps,Brachythecium,l ,Brachythecium,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,"steep. poly 20, plot confar cliff? 260 degrees",genus,,,,,,,,,,,Harvey Janszen,,unable to decipher location remark
2,18,Umbilica/ Democaroa,Umbilicaria,l,Umbilicaria,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,"base. poly 20, plot confar cliff? 260 degrees",genus,,,,,,,dominant,qualitative,dominant,,Harvey Janszen,,unable to decipher location remark
2,19,Mimulus,Mimulus,h,Mimulus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,genus,,,,,,,,,,,Harvey Janszen,,
2,20,Collinsia,Collinsia,h,Collinsia,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,genus,,,,,,,,,,,Harvey Janszen,,
2,21,Coll par,Collinsia parviflora,h,Collinsia parviflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,grass slope below,,,,species,,,,,,,,,,,Harvey Janszen,,
2,22,Trif sps,Trifolium ,h,Trifolium,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,grass slope below,,,,genus,,,,,,,,,,,Harvey Janszen,,
3,1,Bromus sps,Bromus,h,Bromus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,grass slope below,,,,genus ,,,,,,,,,,,Harvey Janszen,,
3,2,Aira pra,Aira praecox,h,Aira praecox,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,3,Mont par,Montia parvifolia,h,Montia parvifolia,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,4,Madi gra,Madia gracilis,h,Madia gracilis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,5,Lith par,Lithophragma parviflorum,h,Lithophragma parviflorum,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,6,Gali apa,Galium aparine,h,Galium aparine,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,7,Tori jap,Torilis japonica,h,Torilis japonica,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,8,Apha arv,Aphanes arvensis ,h,Alchemilla arvensis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,9,Raco can,Racomitrium canenscens,m,Racomitrium canenscens,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,10,Erod cic,Erodium cicutarium ,h,Erodium cicutarium ,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,11,Clarkia amoe,Clarkia amoena,h,Clarkia amoena,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
3,12,Nemo par,Nemophila parviflora,h,Nemophila parviflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,on rock w/ seep,,,on rock w/ seep. Mod.,species,,,,,,,,,,,Harvey Janszen,,"don't understand what ""mod"" means"
3,13,Bryum sp.,Bryum,h,Bryum,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,genus,,,,,,,,,,,Harvey Janszen,,
3,14,Coll gra,Collinsia grandiflora,m,Collinsia grandiflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,15,Mimu als,Mimulus alsinoides,m,Erythranthe alsinoides,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,16,Card oli,Cardamine oligosperma,h,Cardamine oligosperma,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,17,Saxi int,Saxifraga integrifolia,m,Micranthes integrifolia,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,18,Sedu lan,Sedum lanceolatum ,h,Sedum lanceolatum ,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,19,Sedu spa,Sedum spathulifolium ,h,Sedum spathulifolium ,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,20,Mimul gut,Mimulus guttata,l,Erythranthe guttata,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,21,Lith par,Lithophragma parviflorum,h,Lithophragma parviflorum,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,23,Raco can,Racomitrium canenscens,m,Racomitrium canenscens,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,open seep on sandstone,,,,species,,,,,,,,,,,Harvey Janszen,,
3,24,Orob uni,Orobranche uniflora,m,Aphyllon purpureum ,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,prob on lithophagus,,,,species,,,,,,,,,,,Harvey Janszen,,unable to decipher habitat remark
3,25,Bra arv,Brassica arvensis,l ,Sinapis arvensis ,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,few,qualitative,"very little, tufts",,Harvey Janszen,,
3,26,Pent tri,Pentagramma triangularis,m,Pentagramma triangularis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,add. + on grass slope,,,,species,,,,,,,,,,,Harvey Janszen,,
3,27,Delp men,Delphinium menziesii,h,Delphinium menziesii,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,add. + on grass slope,,,,species,,,,,,,,,,,Harvey Janszen,,
3,28,Agoseris gra,Agoseris grandiflora,h,Agoseris grandiflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,rock above,,,,species,,,,,,,,,,,Harvey Janszen,,
3,29,Plec con,Plectritis congesta,m,Plectritis congesta,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,rock above,,,,species,,,,,,,,,,,Harvey Janszen,,
3,30,Rume ace,Rumex,m,Rumex,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,rock above,,,,genus,,,,,,1,,,,,Harvey Janszen,,
4,1,Elym gla,Elymus glaucus,h,Elymus glaucus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,2,Meli har,Melica harfordii,h,Melica harfordii,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,3,Bromus st,Bromus sterilis,h,Bromus sterilis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,etc (underlined)after taxon name ,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,4,Madia gra,Madia gracilis,h,Madia gracilis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,5,Loni his,Lonicera hispidula,h,Lonicera hispidula,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,6,Vici sat,Vicia sativa,h,Vicia sativa,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,7,Tori jap,Torilis japonica,h,Torilis japonica,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,8,Sani cra,Sanicula crassicaulis,h,Sanicula crassicaulis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,poly 48,,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,9,Bromus sp. ,Bromus,h,Bromus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,with mixed [infolia]?,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,10,Allium sps,Allium,h,Allium,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,11,Elym gla,Elymus glaucus,h,Elymus glaucus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,12,Selag wal,Selaginella wallacei,h,Selaginella wallacei,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,13,Raco can,Racomitrium canescens,h,Racomitrium canescens,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,14,Collinsia p,Collinsia parviflora,h,Collinsia parviflora,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"ledge up forest, Pseudotsuga menziesii [verts]? to ct with Quercus garryana, Mb, and small Arbutus",,,"next [grassy?], poly 48",,,,,,,,,,,,,,unsure what Mb and Ct are - likely trees but not sure which species
4,15,Elym gla,Elymus glaucus,h,Elymus glaucus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,Quercus garryana woodland with clumps of Pseudotsuga menziesii,,,poly 37,,,,,,,,,,,,,,
4,16,Meli har,Melica harfordii,h,Melica harfordii,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,Quercus garryana woodland with clumps of Pseudotsuga menziesii,,,poly 37,,,,,,,,,,,,,,
4,17,Cyno cris,Cynosurus cristatus,h,Cynosurus cristatus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,Quercus garryana woodland,,,poly 52,,,,,,,,,,first seen abundant ,,,,
4,18,Festuca rubra,Festuca rubra,h,Festuca rubra,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,Quercus garryana woodland,,,poly 52,,,,,,,,,,,,,,
5,1,Elym gla,Elymus glaucus,h,Elymus glaucus,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, mostly under trees",,,poly 52,,,,,,,,,,,,,,
5,2,Bra arv,Brassica arvensis,m,Sinapis arvensis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, mostly under trees",,,poly 52,,,,,,,,,,,,,,
5,3,Lych cor,Lychnis coronaria,h,Silene coronaria,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, mostly under trees",,,poly 52,,,,,,,,,,,,,,
5,4,Tori jap,Torilis japonica,h,Torilis japonica,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, mostly under trees",,,poly 52,,,,,,,,,,,,,,
5,,Luzu cam,Luzula campestris,m,Luzula campestris,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, under trees",,,poly 52,,,,,,,,,,,,,,
5,,Cyst fra,Cystopteris fragilis,h,Cystopteris fragilis,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, under oaks",,,poly 52,,,,,,,,,,,,,,
5,,Heuc mic,Heuchera micrantha,h,Heuchera micrantha,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, foot of shaded cliffs",,,poly 52,,,,,,,,,,,,,,
5,,[Mohr]? mac,,,,20040312,Galiano Island,Canada,British Columbia,Galiano Island,,,,"Quercus garryana woodland, ridge top",,,poly 52,,,,,,,,,,,,,,cannot decipher taxon name
5,,Cyti sco,Cytisus scoparius,h,Cytisus scoparius,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Elym gla,Elymus glaucus,h,Elymus glaucus,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,2,,,,,,,
5,,Meli sub,Melica subulata,h,Melica subulata,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,2,,,,,,,
5,,Brom sp,Bromus,h,Bromus,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,Bromus c.f.,,,,,,plot 01,,,,,,,,,,question mark next to taxon name Bromus sp. ,,,,
5,,Cama lei,Camassia leichtlinii,h,Camassia leichtlinii,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Eryth ore,Erythronium oregonum,m,Erythronium oregonum,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Allium acuminatum,Allium acuminatum,h,Allium acuminatum,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Luzula multiflora,Luzula multiflora,h,Luzula multiflora,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Sani cra,Sanicula crassicaulis,h,Sanicula crassicaulis,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,1,,,,,,,
5,,Ramu occi,Ranunculus occidentalis,h,Ranunculus occidentalis,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,0,,,,,,,
5,,Tori jap,Torilis japonica,h,Torilis japonica,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,1,,,,,,,
5,,Cera arv,Cerastium arvense,h,Cerastium arvense,20040324,Galiano Island; Mount Sutil ,Canada,British Columbia,Galiano Island,,,,,,,plot 01,,,,,,,1,,,,,,,
