"archiveID","pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","index","datasetName","basisOfRecord","islandGroup","recordNumber"
8,4,6,"Hypericum anagalloides","Hypericum anagalloides","h","Hypericum anagalloides",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,11,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-6"
8,4,7,"Viola palustris","Viola palustris","h","Viola palustris",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,12,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-7"
8,4,8,"Dulichium arundinaceum","Dulichium arundinaceum","m","Dulichium arundinaceum",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,13,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-8"
8,4,9,"Carex lenticularis","Carex lenticularis","h","Carex lenticularis",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,1,"1-5 plants","individuals","abundance code: '1'",NA,"Harvey Janszen",NA,NA,14,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-9"
8,4,10,"Carex excissata","Carex exsiccata","h","Carex exsiccata",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,2,"5-25 plants","individuals","abundance code: '2'",NA,"Harvey Janszen",NA,NA,15,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-10"
8,4,11,"Potentilla palustris","Potentilla palustris","h","Comarum palustre",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,16,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-11"
8,4,12,"Lycopus unif","Lycopus uniflorus","m","Lycopus uniflorus",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,17,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-12"
8,4,13,"Juncus ensifolius","Juncus ensifolius","h","Juncus ensifolius",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,1,"1-5 plants","individuals","abundance code: '1'",NA,"Harvey Janszen",NA,NA,18,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-13"
8,4,16,"Kalmia polifolia","Kalmia polifolia","m","Kalmia polifolia",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,2,"5-25 plants","individuals","abundance code: '2'",NA,"Harvey Janszen",NA,NA,19,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-16"
8,4,19,"Ranunculus flammula","Ranunculus flammula","h","Ranunculus flammula",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,20,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-19"
8,4,20,"Carex lasiocarpa","Carex lasiocarpa","h","Carex lasiocarpa",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,21,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-20"
8,5,1,"Carex excissata","Carex exsiccata","h","Carex exsiccata",19961030,"Saltspring Island; 5.6 kilometer fen","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","fen",NA,NA,NA,"species",NA,NA,NA,NA,NA,5,"75+ plants","individuals","abundance code: '5'",NA,"Harvey Janszen",NA,NA,22,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-1"
8,5,2,"Juncus effusus","Juncus effusus","h","Juncus effusus",19961030,"Saltspring Island; 5.6 kilometer fen","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","fen",NA,NA,NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,23,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-2"
8,5,3,"Torreyochloa pauciflora","Torreyochloa pallida pauciflora","h","Torreyochloa pallida pauciflora",19961030,"Saltspring Island; 5.6 kilometer fen","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","fen",NA,NA,NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,24,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-3"
8,5,4,"Salix scouleriana","Salix scouleriana","h","Salix scouleriana",19961030,"Saltspring Island; 5.6 kilometer fen","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of fen",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,25,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-4"
8,5,5,"Scirpus acutus","Schoenoplectus acutus","h","Schoenoplectus acutus",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,5,"75+ plants","individuals","abundance code: '5'",NA,"Harvey Janszen",NA,NA,26,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-5"
8,5,6,"Typha latifolia","Typha latifolia","h","Typha latifolia",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,1,"1-5 plants","individuals","abundance code: '1'",NA,"Harvey Janszen",NA,NA,27,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-6"
8,5,7,"Potentilla palustris","Potentilla palustris","h","Comarum palustre",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,28,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-7"
8,5,8,"Potamogeton amplifolius","Potamogeton amplifolius","h","Potamogeton amplifolius",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,29,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-8"
8,5,9,"Elodea canadensis","Elodea canadensis","h","Elodea canadensis",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,30,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-9"
8,5,10,"Potamogeton robbinsii","Potamogeton robbinsii","h","Potamogeton robbinsii",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,31,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-10"
8,5,11,"Nuphar p","Nuphar polysepala","m","Nuphar polysepala",19961030,"Saltspring Island; Cusheon Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake","Potamogeton obtusifolius","HJC-2636",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,32,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-11"
8,5,12,"Cicuta douglasii","Cicuta douglasii","h","Cicuta douglasii",19961030,"Saltspring Island; Cusheon Lake; east end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,33,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-12"
8,5,13,"Sium suave","Sium suave","h","Sium suave",19961030,"Saltspring Island; Cusheon Lake; east end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,34,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-13"
8,5,14,"Lythrum thyrsiflora","Lythrum thyrsiflora","h","Lysimachia thyrsiflora",19961030,"Saltspring Island; Cusheon Lake; north end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","edge of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,35,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-14"
8,5,16,"Salix scouler","Salix scouleriana","h","Salix scouleriana",19961030,"Saltspring Island; Cusheon Lake; north end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,36,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-16"
8,5,17,"Cornus stolonifera","Cornus sericea","h","Cornus sericea",19961030,"Saltspring Island; Cusheon Lake; north end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,37,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-17"
8,5,18,"Spiraea d","Spiraea douglasii","h","Spiraea douglasii",19961030,"Saltspring Island; Cusheon Lake; north end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,38,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-5-18"
8,6,1,"Typha l","Typha latifolia","m","Typha latifolia",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,5,"75+ plants","individuals","abundance code: '5'",NA,"Harvey Janszen",NA,"uncertain of specific epiphet",39,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-1"
8,6,2,"Spiraea d","Spiraea douglasii","h","Spiraea douglasii",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,40,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-2"
8,6,3,"Salix sarale","Salix scouleriana","l","Salix scouleriana",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore, behind Potentilla palustris (Comarum palustre)",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,"uncertain of specific epiphet",41,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-3"
8,6,4,"Potentilla p","Potentilla palustris","h","Comarum palustre",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,42,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-4"
8,6,5,"Lemna minor","Lemna minor","h","Lemna minor",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","shore",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,43,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-5"
8,6,7,"Oenanthe sarmentosa","Oenanthe sarmentosa","h","Oenanthe sarmentosa",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,44,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-7"
8,6,8,"Lycopus unif","Lycopus uniflorus","h","Lycopus uniflorus",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,45,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-8"
8,6,9,"Phalaris arundinacea","Phalaris arundinacea","h","Phalaris arundinacea",19961030,"Saltspring Island; Bullocks Pond","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,46,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-9"
8,6,10,"Nuphar p","Nuphar polysepala","h","Nuphar polysepala",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,47,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-10"
8,6,11,"Ranunculus flammula","Ranunculus flammula","h","Ranunculus flammula",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,48,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-11"
8,6,12,"Spiraea d","Spiraea douglasii","h","Spiraea douglasii",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,49,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-12"
8,6,13,"Potamogeton robbinsii","Potamogeton robbinsii","h","Potamogeton robbinsii",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,50,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-13"
8,6,14,"Sparganium em","Sparganium emersum","h","Sparganium emersum",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,51,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-14"
8,6,15,"Sium suave","Sium suave","h","Sium suave",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,52,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-15"
8,6,18,"Carex lasiocarpa","Carex lasiocarpa","h","Carex lasiocarpa",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,53,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-18"
8,6,19,"Agrostis scabra","Agrostis scabra","h","Agrostis scabra",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,54,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-6-19"
8,7,1,"Juncus ensifolius","Juncus ensifolius","h","Juncus ensifolius",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,55,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-1"
8,7,2,"Lythrum thyrsiflora","Lythrum thyrsiflora","h","Lysimachia thyrsiflora",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,56,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-2"
8,7,3,"Torreyochloa pauciflora","Torreyochloa pallida pauciflora","h","Torreyochloa pallida pauciflora",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,57,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-3"
8,7,4,"Hypericum anagalloides","Hypericum anagalloides","h","Hypericum anagalloides",19961030,"Saltspring Island; Maxwell Lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Potamogeton obtusifolius; Carex acuta; Ranunculus aquatilis; Callitriche","HJC-2637; HJC-2638; HJC-2640; HJC-2641",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,58,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-4"
8,7,5,"Scirpus acutus","Scirpus acutus","h","Scirpus acutus",19961030,"Saltspring Island; Maxwell Lake; lower end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","Scirpus acutus and Spiraea swamp",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,59,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-5"
8,7,6,"Spiraea","Spiraea","h","Spiraea",19961030,"Saltspring Island; Maxwell Lake; lower end of lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","Scirpus acutus and Spiraea swamp",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,60,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-7-6"
