"pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","archiveID"
1,7,"Vicia sativa","Vicia sativa","h","Vicia sativa",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,8,"Poa pratensis","Poa pratensis","h","Poa pratensis",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,9,"Rumex acetosella","Rumex acetosella","h","Rumex acetosella",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,10,"Festuca megalura","Festuca megalura","m","Vulpia myuros megalura",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,11,"Arbutus menziesii","Arbutus menziesii","h","Arbutus menziesii",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,12,"Lotus corniculatus","Lotus corniculatus","h","Lotus corniculatus",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,13,"Trifolium dubium","Trifolium dubium","h","Trifolium dubium",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,14,"Trifolium repens","Trifolium repens","h","Trifolium repens",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,15,"Trifolium subterraneum","Trifolium subterraneum","h","Trifolium subterraneum",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,16,"Aira caryophyllea","Aira caryophyllea","h","Aira caryophyllea",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,17,"Hypochaeris radicata","Hypochaeris radicata","h","Hypochaeris radicata",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,18,"Dactylis glomerata","Dactylis glomerata","h","Dactylis glomerata",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,19,"Bromus pacificus","Bromus pacificus","h","Bromus pacificus",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,20,"Bellis perennis","Bellis perennis","h","Bellis perennis",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,21,"Matricaria matricarioides","Matricaria matricarioides","h","Matricaria discoidea",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,22,"Pseudotsuga menziesii","Pseudotsuga menziesii","h","Pseudotsuga menziesii",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,1,"Sedum spathulifolium","Sedum spathulifolium","h","Sedum spathulifolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,2,"Juniperus scopulorum","Juniperus scopulorum","h","Juniperus scopulorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,3,"Lonicera ciliosa","Lonicera ciliosa","h","Lonicera ciliosa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,4,"Salix scouleriana","Salix scouleriana","h","Salix scouleriana",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,5,"Filago germanica","Filago germanica","h","Filago germanica",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,6,"Rubus ursinus","Rubus ursinus","h","Rubus ursinus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,7,"Gaultheria shallon","Gaultheria shallon","h","Gaultheria shallon",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,8,"Bromus pacificus","Bromus pacificus","h","Bromus pacificus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"has asterisk",7
2,9,"Bromus sterilis","Bromus sterilis","h","Bromus sterilis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,10,"Daucus pusillus","Daucus pusillus","h","Daucus pusillus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,11,"Heuchera micrantha","Heuchera micrantha","h","Heuchera micrantha",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,12,"Achillea millefolium","Achillea millefolium","h","Achillea millefolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,13,"Vaccinium parvifolium","Vaccinium parvifolium","h","Vaccinium parvifolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,14,NA,NA,NA,NA,19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,15,"Vicia gigantea","Vicia gigantea","h","Vicia gigantea",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,16,"Ribes sanguineum","Ribes sanguineum","h","Ribes sanguineum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,17,"Grindelia integrifolia","Grindelia integrifolia","h","Grindelia integrifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,18,"Conioselinum pacificum","Conioselinum pacificum","h","Conioselinum gmelinii",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,19,"Plantago maritima","Plantago maritima","h","Plantago maritima",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,20,"Elymus glaucus","Elymus glaucus","h","Elymus glaucus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,21,"Thuja plicata","Thuja plicata","h","Thuja plicata",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,22,"Lonicera hispidula","Lonicera hispidula","h","Lonicera hispidula",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,23,"Acer macrophyllum","Acer macrophyllum","h","Acer macrophyllum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,24,"Galium triflorum","Galium triflorum","h","Galium triflorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Galium triflorum cf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"question mark beside taxon name",NA,NA,NA,"question mark",7
2,25,"Lactuca muralis","Lactuca muralis","h","Lactuca muralis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,26,"Verbascum thapsus","Verbascum thapsus","m","Verbascum thapsus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,27,"Epilobium minutum","Epilobium minutum","m","Epilobium minutum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unsure if montanum or minutum",7
2,28,"Cerastium viscosum","Cerastium viscosum","h","Cerastium holosteoides",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,29,"Berberis nervosa","Berberis nervosa","h","Berberis nervosa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,30,"Galium aparine","Galium aparine","h","Galium aparine",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,31,"Hieracium alb","Hieracium albiflorum","m","Hieracium albiflorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,32,"Trientalis latifolia","Trientalis latifolia","h","Lysimachia latifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,33,"Festuca occidentalis","Festuca occidentalis","h","Festuca occidentalis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Festuca cf . occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"question mark in between genus and species; check mark next to taxon name",NA,NA,NA,"question mark in between genus and species. Check mark",7
2,34,"Amelanchier alnifolia","Amelanchier alnifolia","h","Amelanchier alnifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,35,"rosa gymnocarpa","rosa gymnocarpa","h","rosa gymnocarpa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,36,"Anthoxanthum odoratum","Anthoxanthum odoratum","h","Anthoxanthum odoratum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,37,"Madia madioides","Madia madioides","h","Madia madioides",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,38,"Festuca rubra lit","Festuca rubra litoralis","l","Festuca rubra litoralis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2,39,"Bromus vulgaris","Bromus vulgaris","h","Bromus vulgaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"asterisk",7
2,40,"Barbarea orthoceras","Barbarea orthoceras","h","Barbarea orthoceras",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"asterisk",7
3,1,"Symphoricarpos albus","Symphoricarpos albus","h","Symphoricarpos albus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,2,"Collinsia grandiflora","Collinsia grandiflora","h","Collinsia grandiflora",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,3,"Arenaria serpyllifolia","Arenaria serpyllifolia","m","Arenaria serpyllifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","cf. Arenaria serpyllifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"taxon name circled with big question mark",NA,NA,NA,"question mark and circled",7
3,4,"Sisymbrium officinale","Sisymbrium officinale","h","Sisymbrium officinale",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,5,"Lenontodon Crepis capillaris","Crepis capillaris","l","Crepis capillaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,"absent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed out and has asterisk beside taxon name",NA,NA,NA,"inferrring absent from crossing out",7
3,6,"Collinsia parviflora","Collinsia parviflora","h","Collinsia parviflora",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,7,"Veronica arvense","Veronica arvensis","m","Veronica arvensis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,8,"Atriplex patula","Atriplex patula","h","Atriplex patula",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,9,"Polypoda glycyrrhiza","Polypodium glycyrrhiza","h","Polypodium glycyrrhiza",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,10,"Cardamine oligosperma","Cardamine oligosperma","h","Cardamine oligosperma",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,11,"Veronica serpyllifolia","Veronica serpyllifolia","h","Veronica serpyllifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,12,"Osmorhiza chilensis","Osmorhiza chilensis","h","Osmorhiza berteroi",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,13,"Pteridium aquilinum","Pteridium aquilinum","h","Pteridium aquilinum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,14,"Crataegus monogyna","Crataegus monogyna","h","Crataegus monogyna",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,15,"Epilobium watsonii","Epilobium watsonii","l","Epilobium ciliatum watsonii",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,16,"Plantago major","Plantago major","h","Plantago major",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,17,"Spergularia rubra","Spergularia rubra","h","Spergularia rubra",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,18,"Geranium dissectum","Geranium dissectum","h","Geranium dissectum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,19,"Geranium molle","Geranium molle","h","Geranium molle",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,20,"Cerastium arvense","Cerastium arvense","h","Cerastium arvense",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,21,"Salicornia virginica","Salicornia virginica","h","Salicornia depressa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,22,"Crepis capillaris","Crepis capillaris","h","Crepis capillaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,23,"Allium acuminatum","Allium acuminatum","h","Allium acuminatum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,24,"Trifolium tridentatum","Trifolium tridentatum","h","Trifolium willdenovii",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,25,"Puccinellia","Puccinellia","h","Puccinellia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Puccinellia sp. cf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp. ?",NA,NA,NA,NA,7
3,26,"Spergularia canadensis","Spergularia canadensis","h","Spergularia canadensis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Spergularia cf. canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(canadensis?)",NA,NA,NA,NA,7
3,27,"Polystichum munitum","Polystichum munitum","h","Polystichum munitum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,28,"Sanicula crassicaulis","Sanicula crassicaulis","h","Sanicula crassicaulis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,29,"Fragaria vesca","Fragaria vesca","h","Fragaria vesca",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,30,"Ranunculus repens","Ranunculus repens","h","Ranunculus repens",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,31,"Athyria filix-folia","Athyrium filix-femina","m","Athyrium filix-femina",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,32,"Poa trivialis","Poa trivialis","h","Poa trivialis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,33,"Alopecurus geniculatus","Alopecurus geniculatus","l","Alopecurus geniculatus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"having trouble deciphering taxon name",7
