[pageNum],[numPage],[vName],[vSciName],[conf],[sciName],[date],[locality],[country],[stateProvince],[island],idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
2,21,Thuja plicata,Thuja plicata,h,Thuja plicata,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,22,Lonicera hispidula,Lonicera hispidula,h,Lonicera hispidula,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,23,Acer macrophyllum,Acer macrophyllum,h,Acer macrophyllum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,24,Galium triflorum,Galium triflorum,h,Galium triflorum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Galium triflorum cf.,,,,,,,,,,,,,,,,question mark beside taxon name,,,,question mark 
2,25,Lactuca muralis,Lactuca muralis,h,Lactuca muralis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,26,Verbascum thapsus,Verbascum thapsus,m,Verbascum thapsus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,27,Epilobium minutum,Epilobium minutum,m,Epilobium minutum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,unsure if montanum or minutum
2,28,Cerastium viscosum,Cerastium viscosum,h,Cerastium holosteoides,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,29,Berberis nervosa,Berberis nervosa,h,Berberis nervosa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,30,Galium aparine,Galium aparine,h,Galium aparine,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,31,Hieracium alb,Hieracium albiflorum,m ,Hieracium albiflorum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,32,Trientalis latifolia,Trientalis latifolia,h,Lysimachia latifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,33,Festuca occidentalis,Festuca occidentalis,h,Festuca occidentalis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Festuca cf . occidentalis,,,,,,,,,,,,,,,,question mark in between genus and species; check mark next to taxon name ,,,,question mark in between genus and species. Check mark 
2,34,Amelanchier alnifolia,Amelanchier alnifolia,h,Amelanchier alnifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,35,rosa gymnocarpa,rosa gymnocarpa,h,rosa gymnocarpa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,36,Anthoxanthum odoratum,Anthoxanthum odoratum,h,Anthoxanthum odoratum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,37,Madia madioides,Madia madioides,h,Madia madioides,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,38,Festuca rubra lit,Festuca rubra litoralis,l,Festuca rubra litoralis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,39,Bromus vulgaris ,Bromus vulgaris ,h,Bromus vulgaris ,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk next to taxon name,,,,asterisk
2,40,Barbarea orthoceras,Barbarea orthoceras,h,Barbarea orthoceras,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk next to taxon name,,,,asterisk
3,1,Symphoricarpos albus,Symphoricarpos albus,h,Symphoricarpos albus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,2,Collinsia grandiflora,Collinsia grandiflora,h,Collinsia grandiflora,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,3,Arenaria serpyllifolia,Arenaria serpyllifolia,m,Arenaria serpyllifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,cf. Arenaria serpyllifolia,,,,,,,,,,,,,,,,taxon name circled with big question mark ,,,,question mark and circled
3,4,Sisymbrium officinale,Sisymbrium officinale,h,Sisymbrium officinale,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,5,Lenontodon Crepis capillaris,Crepis capillaris,l,Crepis capillaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,absent,,,,,,,,,,,,,,crossed out and has asterisk beside taxon name,,,,inferrring absent from crossing out
3,6,Collinsia parviflora,Collinsia parviflora,h,Collinsia parviflora,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,7,Veronica arvense,Veronica arvensis ,m,Veronica arvensis ,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,8,Atriplex patula,Atriplex patula,h,Atriplex patula,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,9,Polypoda glycyrrhiza,Polypodium glycyrrhiza,h,Polypodium glycyrrhiza,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,10,Cardamine oligosperma,Cardamine oligosperma,h,Cardamine oligosperma,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,11,Veronica serpyllifolia,Veronica serpyllifolia,h,Veronica serpyllifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,12,Osmorhiza chilensis,Osmorhiza chilensis,h,Osmorhiza berteroi,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,13,Pteridium aquilinum,Pteridium aquilinum,h,Pteridium aquilinum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,14,Crataegus monogyna,Crataegus monogyna,h,Crataegus monogyna,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,15,Epilobium watsonii,Epilobium watsonii,l,Epilobium ciliatum watsonii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,16,Plantago major,Plantago major,h,Plantago major,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,17,Spergularia rubra,Spergularia rubra,h,Spergularia rubra,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,18,Geranium dissectum,Geranium dissectum,h,Geranium dissectum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,19,Geranium molle,Geranium molle,h,Geranium molle,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,20,Cerastium arvense,Cerastium arvense,h,Cerastium arvense,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,21,Salicornia virginica,Salicornia virginica,h,Salicornia depressa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,22,Crepis capillaris,Crepis capillaris,h,Crepis capillaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,23,Allium acuminatum,Allium acuminatum,h,Allium acuminatum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,24,Trifolium tridentatum,Trifolium tridentatum,h,Trifolium willdenovii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,25,Puccinellia,Puccinellia,h,Puccinellia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Puccinellia sp. cf.,,,,,,,,,,,,,,,,sp. ? ,,,,
3,26,Spergularia canadensis,Spergularia canadensis,h,Spergularia canadensis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Spergularia cf. canadensis,,,,,,,,,,,,,,,,(canadensis?),,,,
3,27,Polystichum munitum,Polystichum munitum,h,Polystichum munitum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,28,Sanicula crassicaulis,Sanicula crassicaulis,h,Sanicula crassicaulis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,29,Fragaria vesca,Fragaria vesca,h,Fragaria vesca,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,30,Ranunculus repens,Ranunculus repens,h,Ranunculus repens,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,31,Athyria filix-folia,Athyrium filix-femina,m,Athyrium filix-femina,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,32,Poa trivialis,Poa trivialis,h,Poa trivialis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,33,Alopecurus geniculatus,Alopecurus geniculatus,l,Alopecurus geniculatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,having trouble deciphering taxon name 
3,34,Juncus bufonius,Juncus bufonius,h,Juncus bufonius,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,35,Cirsium vulgare,Cirsium vulgare,h,Cirsium vulgare,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
3,36,Polygonum aviculare,Polygonum aviculare,h,Polygonum aviculare,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,1,Rumex crispus,Rumex crispus,h,Rumex crispus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Rumex cf. crispus,,,,,,,,,,,,,,,,specific epithet bracketed,,,,
4,2,Juncus effusus ,Juncus effusus ,h,Juncus effusus ,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Juncus effusus cf. var ,,,,,,,,,,,,,,,,"no var provided, ""var"" underlined",,,,
4,3,Alopecuris,Alopecurus,m,Alopecurus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk beside genus name ,,,,
4,4,Sagina procumbens,Sagina procumbens,h,Sagina procumbens,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,5,Triglochin montinum,Triglochin maritima,m,Triglochin maritima,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,crossed-out asterisk,,,,
4,6,Sagina crassicaulis,Sagina crassicaulis,m,Sagina maxima crassicaulis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,check mark and asterisk next to taxon name,,,,
4,7,Centaurium umbellatum,Centaurium umbellatum,m,Centaurium erythraea,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,Initial genus name bracketed with question mark; arrow pointing to new name,,,,
4,8,Quercus garryana,Quercus garryana,h,Quercus garryana,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,9,Holodiscus discolor,Holodiscus discolor,h,Holodiscus discolor,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,10,Pyrola aphylla,Pyrola aphylla,h,Pyrola aphylla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,cannot decipher comment next to name in brackets. Is that a suspected intraspecific epithet? 
4,11,Poa howellii,Poa howellii,h,Poa howellii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk next to taxon name ,,,,
4,12,Taraxacum officinale,Taraxacum officinale,h,Taraxacum officinale,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,13,Linnaea borealis,Linnaea borealis,h,Linnaea borealis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,14,Montia parvifolia,Montia parvifolia,h,Montia parvifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,15,Zostera marina,Zostera marina,h,Zostera marina,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,16,Digitalis purpurea,Digitalis purpurea,h,Digitalis purpurea,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,17,Holcus lanatus,Holcus lanatus,h,Holcus lanatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,18,Callitriche heterophylla,Callitriche heterophylla,h,Callitriche heterophylla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,19,Festuca pratensis,Festuca pratense,m,Festuca pratense,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,20,Carex pachystachya,Carex pachystachya,h,Carex pachystachya,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,"initially Carex sp., sp. crossed out for specified specific epithet",,,,
4,21,Orthocarpus pusillus,Orthocarpus pusillus,l,Triphysaria pusilla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,22,Abies grandis,Abies grandis,h,Abies grandis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,23,Distichlis spicata,Distichlis spicata,h,Distichlis spicata,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,24,Juncus balticus,Juncus balticus,h,Juncus balticus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,25,,,,,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,trouble deciphering taxon name
4,26,Potamogeton,,,,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,in salt pond,,,,,,,,,,,,,,,,,cannot decipher specific epithet or tell if it is suggesting another genus instead
4,27,Myosotis discolor,Myosotis discolor,h,Myosotis discolor,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,28,Saxifraga cespitosa,Saxifraga cespitosa,m,Saxifraga cespitosa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk next to taxon name ,,,,
4,29,Pachistima myrsinites,Pachistima myrsinites,h,Paxistima myrsinites,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,30,Aira praecox,Aira praecox,h,Aira praecox,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,31,Ranunculus,,,,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,cannot decipher specific epithet
4,32,Shepherdia canadensis,Shepherdia canadensis,h,Shepherdia canadensis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,original genus name corsses out ,,,,
4,33,Carex pensylvanica,Carex pensylvanica,h,Carex pensylvanica,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,34,Cynosurus cristatus,Cynosurus cristatus,h,Cynosurus cristatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
4,35,Juncus gracilis,Juncus gracilis,l,Marsippospermum gracile,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,new species name not found in region 
5,1,Cirsium arvense,Cirsium arvense,h,Cirsium arvense,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,2,Myosotis laxa,Myosotis laxa,h,Myosotis laxa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Myosotis cf. laxa,,,,,,,,,,,,,,,,specific epithet bracketed,,,,
5,3,Rubus discolor,Rubus discolor,h,Rubus armeniacus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,4,Veronica americana,Veronica americana,h,Veronica americana,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,5,Geum macrophyllum,Geum macrophyllum,h,Geum macrophyllum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,6,Sherardia arvensis,Sherardia arvensis,h,Sherardia arvensis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,7,Allium cernuum,Allium cernuum,h,Allium cernuum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,8,Carex deweyana,Carex deweyana,h,Carex deweyana,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,9,Festuca subuliflora,Festuca subuliflora,h,Festuca subuliflora,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,10,Lotus corniculatus,Lotus corniculatus,h,Lotus corniculatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,11,Selaginella wallacei,Selaginella wallacei,m,Selaginella wallacei,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,12,Mimulus guttatus,Mimulus guttatus,h,Erythranthe guttata,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,13,Pityrogramma triangularis,Pityrogramma triangularis,h,Pentagramma triangularis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,14,Mimulus alsinoides,Mimulus alsinoides,m,Erythranthe alsinoides,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,15,Monotropa uniflora,Monotropa uniflora,h,Monotropa uniflora,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,16,Chimaphila umbellata,Chimaphila umbellata,h,Chimaphila umbellata,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,17,Carex lyngbyei,Carex lyngbyei,h,Carex lyngbyei,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,18,Arabis glabra,Arabis glabra,h,Arabis glabra,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,19,Pyrus fusca,Pyrus fusca,h,Malus fusca,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,20,Hypericum anagalloides,Hypericum anagalloides,h,Hypericum anagalloides,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,21,Mentha arvense,Mentha arvensis,h,Mentha arvensis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
5,22,Urtica dioica,Urtica dioica,h,Urtica dioica,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
