pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,16,Lycopus uniflorus,Lycopus uniflorus,h,Lycopus uniflorus,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,17,Veronica americana,Veronica americana,h,Veronica americana,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,18,Aster subspicatum,Aster subspicatum,h,Symphyotricum subspicatum,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,19,Carex lasiocarpa,Carex lasiocarpa,h,Carex lasiocarpa,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,1,Scirpus acutus,Scirpus acutus,h,Scirpus acutus,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,two large beds,NA,Harvey Janszen,NA,NA
2,2,Potamogeton robbinsii,Potamogeton robbinsii,h,Potamogeton robbinsii,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,Isoetes echinospora,2630,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,3,Potamogeton amplifolius,Potamogeton amplifolius,h,Potamogeton amplifolius,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,Isoetes echinospora,2630,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,4,Eleocharis palustris,Eleocharis palustris,h,Eleocharis palustris,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"shoreline of lake, behind Scirpus beds",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,5,Utricularia vulgaris,Utricularia vulgaris,h,NA,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"shoreline of lake, behind Scirpus beds",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,renamed to macrorhiza?
2,6,Carex cusickii,Carex cusickii,h,Carex cusickii,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,7,Potentilla palustris,Potentilla palustris,h,Comarum palustre,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,8,Potamogeton natans,Potamogeton natans,h,Potamogeton natans,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,9,Drosera rotundifolia,Drosera rotundifolia,h,Drosera rotundifolia,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,10,Nuphar polysepala,Nuphar polysepala,h,Nuphar polysepala,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,approx 30% lake cover with Nymphae odorata,NA,Harvey Janszen,NA,NA
2,11,Nymphae sp. odorata,Nymphae odorata,h,Nymphae odorata,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,approx 30% lake cover with Nuphar polysepala,NA,Harvey Janszen,NA,NA
2,12,Sparganium emersum,Sparganium emersum,h,Sparganium emersum,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,13,Elodea densa,Elodea densa,h,Elodea densa,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,14,Utricularia vulgaris,Utricularia vulgaris,h,NA,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,renamed to macrorhiza?
2,15,Myriopphyllum spicatum,Myriopphyllum spicatum,h,Myriopphyllum spicatum,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
3,1,Scirpus acutus,Scirpus acutus,h,Schoenoplectus acutus,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
3,2,Spiraea,Spiraea,h,Spiraea,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
3,3,Salix,NA,NA,NA,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,could not decipher taxon name
3,4,Alder,Alder,h,Alnus,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
3,5,Potentilla palustris,Potentilla palustris,h,Comarum palustre,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
