pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,16,Lycopus uniflorus,Lycopus uniflorus,h,Lycopus uniflorus,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,17,Veronica americana,Veronica americana,h,Veronica americana,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,18,Aster subspicatum,Aster subspicatum,h,Symphyotricum subspicatum,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,not sure what add means
1,19,Carex lasiocarpa,Carex lasiocarpa,h,Carex lasiocarpa,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,1,Scirpus acutus,Scirpus acutus,h,Scirpus acutus,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,two large beds,NA,Harvey Janszen,NA,NA
2,2,Potamogeton robbinsii,Potamogeton robbinsii,h,Potamogeton robbinsii,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,Isoetes echinospora,2630,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,3,Potamogeton amplifolius,Potamogeton amplifolius,h,Potamogeton amplifolius,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,Isoetes echinospora,2630,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,4,Eleocharis palustris,Eleocharis palustris,h,Eleocharis palustris,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"shoreline of lake, behind Scirpus beds",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,5,Utricularia vulgaris,Utricularia vulgaris,h,NA,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"shoreline of lake, behind Scirpus beds",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,renamed to macrorhiza?
2,6,Carex cusickii,Carex cusickii,h,Carex cusickii,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
2,7,Potentilla palustris,Potentilla palustris,h,Comarum palustre,19960925,Metchosin; Matheson Lake; north side of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"on log, shoreline of lake",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
