D,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,Collector,CollectorsFieldNumber,CollectionDate,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance,ReviewedYesNo,AddedYesNo,ImagedYesNo,scientificNameReviewed,scientificNameReviewedwAuthorities,SpeciesAuthorityNew,SubspeciesAuthorityNew,VarietyAuthorityNew,IdentifierNew,IDDateNew,IDNotesNew,MuseumCollectionNew,CollectorsFieldNumberNew,CollectionDateNew,Prov_StateNew,DistrictNew,LocationNameNew,decimalLatitude,decimalLongitude,georeferencedBy,georeferenceVerificationStatus,georeferenceProtocol,georeferenceRemarks,elevationNew,Park_ER_IR_New,HabitatRemarksNew,SpecimenNotesNew,SpeciesAbundanceNew
V097556,Lepidium virginicum L. ssp. menziesii (DC.) Hitchc.,Lepidium virginicum L. ssp. menziesii (DC.) Hitchc.,pepper-grass; tall pepper-grass,Brassicaceae,Lepidium,virginicum,,menziesii,(DC.) Hitchc.,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,92,1973-05-06,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,bare dry earth on rocks; trails and cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097504,Quercus garryana Dougl.,Quercus garryana Dougl.,Garry oak; oak,Fagaceae,Quercus,garryana,Dougl.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,99,1973-05-06,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,cliffs and bluffs; rocks and slopes just above sea,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097567,Sisymbrium officinale (L.) Scop.,Sisymbrium officinale (L.) Scop.,hedge mustard; tumble-mustard,Brassicaceae,Sisymbrium,officinale,(L.) Scop.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,105,1973-05-15,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097570,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,boreal starwort; starwort,Caryophyllaceae,Stellaria,borealis,,sitchana,(Steud.) Piper & Beattie,,,,,Richard Rabeler,2008-01-01,IDD:  20080000; Rabeler from the University of Michigan Herbarium,Not Listed,Janszen 19734,Harvey Janszen,107,1973-05-15,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,on mound in wet woods and on edge of sunny ditch in overgrown pasture,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097468,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,109,1973-05-08,British Columbia,,Saturna Island,,48.78333333,-123.15,,,,,,swamps,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097469,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,,Adolf Ceska,1981-01-01,,Not Listed,,Harvey Janszen,109,1973-05-08,British Columbia,,Saturna Island,,48,-123,,,,,,swamps,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097584,Aquilegia formosa Fisch. ex DC.,Aquilegia formosa Fisch. ex DC.,columbine; Sitka columbine,Ranunculaceae,Aquilegia,formosa,Fisch. ex DC.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,119,1973-06-01,British Columbia,,Saturna Island,,48,-123,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097418,Ranunculus occidentalis Nutt. var. occidentalis,Ranunculus occidentalis Nutt. var. occidentalis,buttercup; western buttercup,Ranunculaceae,Ranunculus,occidentalis,,,,occidentalis,,,,T. Brayshaw,1982-08-03,,Not Listed,Wood 1975,Harvey Janszen,119,1975-06-07,British Columbia,Gulf Islands,Galiano Island,,48.93333333,-123.45,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097559,Lepidium densiflorum Schrad.,Lepidium densiflorum Schrad.,pepper-grass; prairie pepper-grass,Brassicaceae,Lepidium,densiflorum,Schrad.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,120,1973-05-13,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,dry bare cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097583,Ranunculus repens L.,Ranunculus repens L.,buttercup; creeping buttercup,Ranunculaceae,Ranunculus,repens,L.,,,,,,,Margaret Heimburger,1980-12-18,,Not Listed,Janszen 1973,Harvey Janszen,131,1973-06-09,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,wet meadows and woods,very common,very common,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097569,Ranunculus acris L.,Ranunculus acris L.,buttercup; meadow buttercup,Ranunculaceae,Ranunculus,acris,L.,,,,,,,Margaret Heimburger,1980-11-18,,Not Listed,Janszen 1973,Harvey Janszen,132,1973-05-15,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,meadow and hayfield,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097571,Brassica campestris L.,Brassica campestris L.,field mustard; mustard,Brassicaceae,Brassica,campestris,L.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,133,1973-05-15,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097622,Erythranthe nasuta (Greene) Nesom,Erythranthe nasuta (Greene) Nesom,,Phrymaceae,Erythranthe,nasuta,(Greene) Nesom,,,,,,,Curtis Bjork,2015-03-01,,,Janszen 1973,Harvey Janszen,135,1973-05-16,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,dry bare open cliff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097551,Raphanus sativus L.,Raphanus sativus L.,garden radish; radish,Brassicaceae,Raphanus,sativus,L.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,138,1973-05-16,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,gardens and disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078912,Matricaria discoidea DC.,Matricaria discoidea DC.,pineapple weed,Asteraceae,Matricaria,discoidea,DC.,,,,,,,Kendrick Marr,2021-03-16,Taxonomic update SG 95,Not Listed,,Harvey Janszen,151,1973-05-28,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,Worn ground; dirt roads.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097581,Nasturtium officinale R. Br. in W. Ait.,Nasturtium officinale R. Br. in W. Ait.,common water-cress; water-cress,Brassicaceae,Nasturtium,officinale,R. Br. in W. Ait.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,157,1973-05-29,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,running water springs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078902,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,dasiy; oxeye daisy,Asteraceae,Leucanthemum,vulgare,Lam.,,,,,,,Gloria Douglas,,,Not Listed,Janszen 1973,Harvey Janszen,169,1973-06-09,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,"dry meadow; hay field, roadsides",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097616,Myosotis laxa Lehm.,Myosotis laxa Lehm.,forget-me-not; small-flowered forget-me-not,Boraginaceae,Myosotis,laxa,Lehm.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,180,1973-07-24,British Columbia,,Saturna Island,,48.78333333,-123.15,,,,,,sandbars in creeks; edges of lakes,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097553,Sagina procumbens L.,Sagina procumbens L.,bird's-eye pearlwort; pearlwort,Caryophyllaceae,Sagina,procumbens,L.,,,,,,,Kendrick Marr,2014-11-21,Reviewed for VFBC,Not Listed,,Harvey Janszen,182,1973-06-09,British Columbia,,Saturna Island,,48.78416667,-123.1480556,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078927,Lapsana communis L.,Lapsana communis L.,nipplewort,Asteraceae,Lapsana,communis,L.,,,,,,,George Douglas,,,Not Listed,Janszen 1973,Harvey Janszen,184,1973-06-15,British Columbia,Gulf Islands,Saturna Island,,49,-123,,,,,,dry woods; forming some dense stands,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097618,Navarretia squarrosa (Esch.) H. & A.,Navarretia squarrosa (Esch.) H. & A.,skunkweed,Polemoniaceae,Navarretia,squarrosa,(Esch.) H. & A.,,,,,,,Stanley Spencer,1996-01-01,IDD:  19960000; S.S. from Rancho Santa Ana Botanic Garden,Not Listed,Janszen 1973,Harvey Janszen,189,1973-07-04,British Columbia,,Saturna Island,,48.78333333,-123.15,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097539,Piperia unalascensis (Spreng.) Rydb.,Piperia unalascensis (Spreng.) Rydb.,Alaska rein orchid; orchid,Orchidaceae,Piperia,unalascensis,(Spreng.) Rydb.,,,,,,,Bruce Bennett,1992-01-01,,Not Listed,Janszen 1973,Harvey Janszen,195,1973-07-04,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,wet ground near ditch,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097575,Thlaspi arvense L.,Thlaspi arvense L.,field pennycress; pennycress,Brassicaceae,Thlaspi,arvense,L.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,206,1973-07-05,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,in garden,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097576,Neslia paniculata (L.) Desv.,Neslia paniculata (L.) Desv.,ball mustard; mustard,Brassicaceae,Neslia,paniculata,(L.) Desv.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,207,1973-07-05,British Columbia,Gulf Islands,Saturna Island,gardens,48.78333333,-123.15,,,,,,gardens,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097595,Rubus discolor Weihe & Nees,Rubus discolor Weihe & Nees,Himalayan blackberry; raspberry,Rosaceae,Rubus,discolor,Weihe & Nees,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,213,1973-07-04,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,most common blackberry on island; damp areas in fields & on hillsides,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097540,Piperia transversa Suksdorf,Piperia transversa Suksdorf,orchid; royal rein orchid,Orchidaceae,Piperia,transversa,Suksdorf,,,,,,,Heather Stewart,1999-11-01,,Not Listed,Newcombe 1961,Harvey Janszen,215,1973-07-08,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,Very dry woods,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078905,Grindelia stricta DC. var. stricta,Grindelia stricta DC. var. stricta,gumweed,Asteraceae,Grindelia,stricta,,,,stricta,,,,Meredith Lane,1993-06-01,"IDD:  19930600; Studies for the Jepson Manual revision (1993); M.A.L. of McGrego Herbarium, University of Kansas (KANU)",Not Listed,Janszen 1973,Harvey Janszen,219,1973-07-04,British Columbia,,Saturna Island,,48,-123,,,,,,cliffs and bluffs above sea,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097449,Carex exsiccata Bailey,Carex exsiccata Bailey,inflated sedge; sedge,Cyperaceae,Carex,exsiccata,Bailey,,,,,,,Jenifer Penny,2000-08-02,,Not Listed,Janszen 1973,Harvey Janszen,223,1973-07-08,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,Shallow lakes.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097534,Spergula arvensis L.,Spergula arvensis L.,corn-spurry,Caryophyllaceae,Spergula,arvensis,L.,,,,,,,T. Brayshaw,1974-01-01,Det 1974,Not Listed,,Harvey Janszen,228,1973-08-15,British Columbia,,Saturna Island,,48.78416667,-123.1480556,,,,,,disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097541,Equisetum hyemale L.,Equisetum hyemale L.,horsetail; scouring-rush,Equisetaceae,Equisetum,hyemale,L.,,,,,,,Adolf Ceska,1985-01-01,,Not Listed,Harvey 1973,Harvey Janszen,235,1973-07-18,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,Swampy open woods.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097448,Juncus occidentalis (Coville) Wiegand,Juncus occidentalis (Coville) Wiegand,rush; western rush,Juncaceae,Juncus,occidentalis,(Coville) Wiegand,,,,,,,Peter Zika,2006-02-01,,Yellow,Janszen 1973,Harvey Janszen,237,1973-07-10,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,wet meadow,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078921,Cirsium arvense (L.) Scop. var. horridum Wimm. & Grab.,Cirsium arvense (L.) Scop. var. horridum Wimm. & Grab.,Canada thistle; thistle,Asteraceae,Cirsium,arvense,,,,horridum,Wimm. & Grab.,,,T. Brayshaw,1974-01-01,STET G.W. Douglas 1986,Not Listed,,Harvey Janszen,240,1973-07-20,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,Cultivated ground and pasture,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078922,Cirsium vulgare (Savi) Tenore,Cirsium vulgare (Savi) Tenore,bull thistle; thistle,Asteraceae,Cirsium,vulgare,(Savi) Tenore,,,,,,,T. Brayshaw,1974-01-01,STET G.W. Douglas 1986,Not Listed,,Harvey Janszen,241,1973-07-20,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,Cultivated ground; dirt roads; burned patches; and pasture land.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097437Y,Monotropa uniflora L.,Monotropa uniflora L.,ghost pipe; ghost plant,Monotropaceae,Monotropa,uniflora,L.,,,,,,,Gary Wallace,1999-01-01,IDD:  19990000; examined for study of the Flora of North America at Rancho Santa Ana Botanic Garden (RSA) by Wallace,Not Listed,Janszen 1973,Harvey Janszen,244,1973-07-20,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,dry woods,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097548,Lepidium,Lepidium,pepper-grass,Brassicaceae,Lepidium,,,,,,,,,T. Brayshaw,1974-01-01,,,Janszen 1973,Harvey Janszen,255,1973-09-14,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,10 ft. (min.),,grassy point by the sea,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097536,Rorippa curvisiliqua (Hook.) Bess. ex Britt.,Rorippa curvisiliqua (Hook.) Bess. ex Britt.,western yellow cress; yellow cress,Brassicaceae,Rorippa,curvisiliqua,(Hook.) Bess. ex Britt.,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,257,1973-08-04,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,only found around a small lake on gravel shore,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097535,Ranunculus flammula L. ssp. reptans (L.) Syme in Sowerby var. ovalis (Bigel.) Benson,Ranunculus flammula L. ssp. reptans (L.) Syme in Sowerby var. ovalis (Bigel.) Benson,buttercup; lesser spearwort,Ranunculaceae,Ranunculus,flammula,,reptans,,ovalis,(Bigel.) Benson,,,T. Brayshaw,1981-11-17,,Not Listed,Janszen 1973,Harvey Janszen,263,1973-08-14,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,shady shore of small lake,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097456,Eleocharis palustris (L.) Roem. & J.A. Schult.,Eleocharis palustris (L.) Roem. & J.A. Schult.,common spike-rush; spike-rush,Cyperaceae,Eleocharis,palustris,(L.) Roem. & J.A. Schult.,,,,,,,S. Smith,2001-01-01,"IDD:  20010000; S. Galen Smith was located at University of Wisconsin, Whitewater, working on a Flora of North America Project who states ""or E. macrostachya Britton""",Not Listed,Janszen 1973,Harvey Janszen,266,1973-08-14,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,in shallow lake,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078746,Senecio jacobaea L.,Senecio jacobaea L.,groundsel; tansy ragwort,Asteraceae,Senecio,jacobaea,L.,,,,,,,J. Bain,1993-12-01,,Not Listed,,Harvey Janszen,268,1973-09-14,British Columbia,Gulf Islands,Saturna Island,,48,-123,,,,,,Along old logging road.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097621,Microsteris gracilis (Hook.) Greene,Microsteris gracilis (Hook.) Greene,pink twink; twink,Polemoniaceae,Microsteris,gracilis,(Hook.) Greene,,,,,,,T. Brayshaw,1974-01-01,,Not Listed,Janszen 1973,Harvey Janszen,278,1973-05-12,British Columbia,,Saturna Island,,48.8,-123.2,,,,,,rare; high on cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V078426,Microseris lindleyi (DC.) A. Gray,Microseris lindleyi (DC.) A. Gray,Lindley's microseris,Asteraceae,Microseris,lindleyi,(DC.) A. Gray,,,,,,,Ken Chambers,1986-10-15,,Red,,Harvey Janszen,339,1974-05-20,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.1333333,,,,,,Grassy slopes; open bluffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V095476,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1974,Harvey Janszen,343,1974-06-10,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,"garden, meadow & roadside",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V095295,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1974,Harvey Janszen,343,1974-05-29,British Columbia,Gulf Islands,Saturna Island,Java Islets,48.8,-123.2,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V095475,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,grass; sweet vernalgrass,Poaceae,Anthoxanthum,odoratum,L.,,,,,,,Harvey Janszen,1974-01-01,,Not Listed,Janszen 1974,Harvey Janszen,344,1974-06-10,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,"Common in fields, open woods and banks above sea.",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V095292,Bromus sterilis L.,Bromus sterilis L.,barren brome; grass,Poaceae,Bromus,sterilis,L.,,,,,,,Jeffery Saarela,2007-01-01,"IDD:  20070000; Saarela of National Herbarium of Canada, (CAN) of Canadian Museum of Nature",Not Listed,Janszen 1975,Harvey Janszen,345,1974-06-10,British Columbia,Gulf Islands,Saturna Island,,48.78333333,-123.15,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V097226,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,pearlwort; western pearlwort,Caryophyllaceae,Sagina,decumbens,,occidentalis,(S. Wats.) Crow,,,,,Kendrick Marr,2014-11-20,Reviewed for VFBC,Yellow,,Harvey Janszen,347,1975-05-29,British Columbia,,Taylor Point,Saturna Island,48.76388889,-123.1313889,,,,,,"dry, bare ground in lea of rocks",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
