mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,Y,Y,could not decipher some associated species ,2942,1,Melica ,,smithii,,,,,,,,,Canada,British Columbia,"Galiano Island, Bodega Ridge",,,,,,,10U 461246 5422791,,,,"Moderately steep mossy rock outcrop; growing with Carex inops, Bromus hordeaceus, Racomitrium canescens, Festuca bromoides, Arctostaphylos columbiana, Hypochaeris radicata, Cytisus scoparius, Koeleria macrantha",220 m ,2002 06 26,Harvey Janszen,,2942,,,several hundred (say 200); scattered over area 30 m by 200 m; slope 70 percent; page 155 HJ9,,,,,,,
,Y,Y,could not decipher some associated species ,2943,1,Glyceria ,,leptostachya,,,,,,,,,Canada,British Columbia,"Galiano Island, Mount Galiano ",,,,,,,10U 473362 5412450,,,,"Small wetland; growing with Carex obnupta, Eleocharis palustris, Myostis laxa",300 m ,2002 06 26,Harvey Janszen,,2943,,,page 157 HJ9,,,,,,,
,Y,Y,could not decipher some associated species ,2944,1,Clarkia ,,purpurea,,,,,,,,,Canada,British Columbia,"Saturna Island, east of Brown Ridge, just above Taylor Point, about 30 m below ridge",,,,,,,10U 489950 5401797,,,,"On rocky ledge outcrops on grassland bluff; growing with Bromus sterilis, Hesperostipa comata, Cynosurus cristatus, Aira caryophyllea, Hypochaeris radicata , Silene gallica, Madia gracilis, Selaginella wallacei, Trifolium microdon, Daucus pusillis, Pteridium aquilinum, Epilobium adenocaulon, Rumex, Lepidium virginicum",202 m ,2002 07 11,Harvey Janszen,,2944,,,"15 plants observed in 1.5 by 0.5 m area (photo); deteailed search area 20 m in all directions, 13 additional in 2 by 2 m area 10 m upslope; additional 62 plants at 10U 48990 5401795 in 2 by 3 m area 50 m to west with same associated species at 223 m; slope 80 percent, aspect 180 degrees; page 159 HJ9",,,,,,,
,Y,Y,something about type of bluff but couldn't make out ,2945,1,Clarkia,,purpurea,,,,quadrivulnera,,,,,Canada,British Columbia,"Saturna Island, Brown Ridge",,,,,,,10U 488953 5401935,,,,"[Grass bluff]? with some rock outcrop; growing with Bromus sterilis, Anthoxanthum odoratum,  Silene gallica, Selaginella wallacei, Hypochaeris radicata, Festuca bromoides, Rumex, Madia gracilis",291 m ,2002 07 11,Harvey Janszen,,2945,,,"5 plants widely spaced, all greater than 1 m apart; additional clumps of 2 plants 5 m west of same ledge;  slope 40 percent, aspect 190 degrees; page 161 HJ9",,,,,,,
,Y,Y,not sure if that is the species collected,2946,1,Linum ,,bienne,,,,,,,,,Canada,British Columbia,Hornby Island ,,,,,,,10U 377049 5485600,,,2 m ,"Open area at top of ventrile cliff; growing with Racomitrium canescens, Danthonia californica, Carex inops, Trifolium willdenovii, Cynosurus echinatus, Madia gracilis, Eriophyllum lanatum, Epilobium sp, Anthoxanthum odoratum",139 m ,2002 07 23,Harvey Janszen,,2946,,,unknown collection on lower cliffs; approx 100 plants over 10 m of cliff; slope 15 percent; two large Clarkia anoema nearby; page 165 HJ9,,,,,,,
,Y,Y,genus has a question mark and could ot find associated ephiphet,2947,1,Triglochin,?,sp,,,,,,,,,Canada,British Columbia,"Hornby Island, Whaling Station Bay, Helliwell Park shoreline to 1 km northwest of park boundary ",,,,,,,,,,,"Growing with Distichlis spicata, Plantago maritima, Atriplex patula",,2002 07 23,Harvey Janszen,,2947,,,page 166 HJ9,,,,,,,
,Y,Y,could not decipher some associated species ,2948,1,Allium ,,amplectens,,,,,,,,,Canada,British Columbia,,,,,,,,10U 467079 5379143,,,,"Oak-Symphoricarpos woordland growing with; Quercus, Symphoricarpos albus, Delphinium menziesii, Rosa canina, Dactylis glomerata, Vicia sativa, Anthoxanthum odoratum, Poa pratensis, Vicia hirsuta, Galium aparine, Geranium molle, Trifolium dubium, Plectritis congesta, Bromus hordeaceus, Veronica arvensis ",109 m ,2003 06 03,Harvey Janszen,,2948,,,"approx 1200 plants over area 6 by 5 m; slope 10 percent, aspect 290 degrees; page 191 HJ9",,,,,,,
,Y,Y,,2949,1,Sidalcea ,,hendersonii,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453017 5401830,,,,"High salt marsh; growing with Lathyrus palustris, Junus bufonius, Triglochin maritima, Lonicera involucrata, Rumex sp, Rosa nutkana, Sonchus arvensis, Argentina Pacifica, Glyceria grandis",6 m ,2003 06 13,Harvey Janszen,,2949,,,"approx 5000 Sidalcea; area over 4-5 hectares visible; Lathyus 500 plus probably underestimate; slope flat, aspect all; page 192 HJ9",,,,,,,
,Y,Y,,2950,1,Lathyrus ,,sp,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453017 5401830,,,,"High salt marsh; growing with Sidalcea hendersonii, Junus bufonius, Triglochin maritima, Lonicera involucrata, Rumex sp, Rosa nutkana, Sonchus arvensis, Argentina Pacifica, Glyceria grandis",6 m ,2003 06 13,Harvey Janszen,,2950,,,"500 plus probably underestimate; slope flat, aspect all; area over 4-5 hectares visible; page 193 HJ9",,,,,,,potentially Lathysus palustris since listed as a associate for this set of collections but not for this collection specifically
,Y,Y,,2951,1,Rumex,,sp,,,,,,,,,Canada,British Columbia,"Cowichan, top slope of Mount Tzouhalem",,,,,,,,,,,,,2003 06 13,Harvey Janszen,,2951,,,page 193 HJ9,,,,,,,
,Y,Y,,2952,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453793 5401808,,,,"Mixed Quuercus garryana, Pseudotsuga menziesii, Berberis aquifolium grove; growing with Lonicera hispidula, Holodiscus discolor, Galium aparine, Melica subulata, Dactylis glomerata, Bromus sterilis, Symphoricarpos albus, Cynosurus echinatus, Sanicula crassicaulis, Erythronium oregonum, Cytisus scoparius",30 m ,2003 06 13,Harvey Janszen,,2952,,,"30 plants in approx 2 m circle; searched area of whole grove approx 100 by 200 m, no more found slightly down hill; slope 30 percent, aspect 220 degrees; page 193 HJ9",,,,,,,
,Y,Y,could not decipher some associated species ,2953,1,Triteleia,,grandiflora,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453775 5401758,,,,"Growing with Quercus garryana, Symphoricarpos albus, Galium aparine, Melica subulata, Triteleia hyacinthin, Allium acuminatum, Vicia sativa, Rosa gymnocarpa, Elymus glaucus, Nemophila parviflora
 ",25 m ,2003 06 13,Harvey Janszen,,2953,,,"6 plants; collection and photo; slope 5 percent, aspect 220 degrees; page 194 HJ9",,,,,,,updated taxon name from verbatim Brodiaea howellii
,Y,Y,could not decipher some associated species ,2954,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,Saturna Island,,,,,,,10U 486624  5402481,,,,"Open grassy slope with small number of Quercus garryana above; growing with Bromus sitchensis, Bromus sterilis, Bromus hordeaceus, Bromus sitchensis, Geranium molle, Galium aparine, Cynosurus cristatus, Stellaria media, Osmorhiza berteroi, Sinapis arvensis, Plectritis congesta, Holcus lanatus, Veronica arvensis, Trifolium microcephalum",243 m ,2003 06 15,Harvey Janszen,,2954,,,"approx 2000 plys plants in area 20 by 60 m mostly along soil below rock outcrop; slope approx 80 percent, aspect 260 degrees; page 195 HJ9",,,,,,,
,Y,Y,,2955,1,Agoseris,?,glauca,,,,,,,,,Canada,British Columbia,Galiano Island,,,,,,,10U 475743 5412250,,,,"On steep conglomerate cliff; open Fd-Qg woodland; growing with Bromus sterilis, Festuca bromoides, Cynosurus cristatus, Allium amplectens, Cerastium arvense, Elymus glaucus, Epilobium parviflorum",110 m ,2003 06 18,Harvey Janszen,,2955,,,"several plants flowering; no seeds seen; slope 80 percent, aspect 225 degrees; page 196 HJ9",,,,,,,specific epithet has question mark 
,Y,Y,,2956,1,Microseris,,sp,,,,,,,,,Canada,British Columbia,Galiano Island,,,,,,,10U 475844 5412141,,,,"Cliff top under dead Fd; growing with Bromus sterilis, Cytisus scoparius, Quercus garryana, Cynosurus cristatus, Lonicera hispidula, Elymus glaucus, Trifolium willdenovii, Silene coronaria, Galium aparine, Lomatium utriculatum ",24 m ,2003 06 18,Harvey Janszen,,2956,,,seed collection only and photos; 2 by 5 m area lower 91 plants; Fd dead; additional 28 pltans 1 by 1 meter same 25 m E along cliff tops; page 197 HJ9,,,,,,,
,Y,Y,a lot of extra locality info about where the habitat extends to.. Should this be included? ,2957,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,Saltspring Island,,,,,,,10U 460447 5406543,,,,Oak woodlands; limited to greener grass mostly close to oaks or rocks,320 m ,2003 06 19,Harvey Janszen,,2957,,,scattered in clumps of 5 to 10 through woodlands NE; page 200 HJ9,,,,,,,
,Y,Y,cannot make out the specific epihpet ,2958,1,Danthonia,,sp,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill summit",,,,,,,10U 468179 5401358,,,,"Open grasslands in Fd to Arbutus woodland; growing with Carex inops, Hypochaeris radicata, Aira caryophyllea, Anthoxanthum odoratum",220 m ,2003 06 20,Harvey Janszen,,2958,,,page 202 HJ9,,,,,,,
,,,,2959,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill",,,,,,,10U 46271 5401151,,,,"Qg to Fd woodland in open and grassy area; growing with Cynosurus cristatus, Elymus glaucus, Rumex, Sanicula crassicaulis, Vicia sativa, Galium aparine, Dactylis glomerata, Quercus garryana, Poa pratensis, Pseudotsuga menziesii",120 m ,2003 06 20,Harvey Janszen,,2959,,,"4 plants; 15 m down slope under Quercus garryana another 10 plants; slope 20 percent, aspect 195 degrees; page 202 HJ9",,,,,,,
,Y,Y,,2960,1,Dichanthelium,,scribnerianum ,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill",,,,,,,10U 468299 5401012,,,,"Qg and Fd area; growing with Quercus garryana, Allium aplectens, Elymus glaucus, Sanicula crassicaulis, Vicia sativa, Galium aparine, Dactylis glomerata, Poa pratensis",130 m ,2003 06 20,Harvey Janszen,,2960,,,page 203 HJ9,,,,,,,updated taxon name from verbatim Panicum oligosanthes
,Y,Y,could not decipher some associated species,2961,1,Yabea ,,microcarpa ,,,,,,,,,Canada,British Columbia,"Galiano Island, Mount Sutil",,,,,,,10U 472088 5413215,,,,"Qg and Fd area; partial canopy; growing with Quercus garryana, Bromus sterilis, Cerastium arvense, Vulpia bromoides, Veronica arvensis, Lotus, Galium aparine, Selaginella wallacei, Erythranthe guttata, Epilobium minutum, Torilis japonica",168 m ,2003 07 30,Harvey Janszen,,2961,,,"18 plants; slope 70 percent, aspect 260 degrees, canopy 50 percent; page 205 HJ9",,,,,,,in collection in packet
,N,,,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2962,,,,,,,,,,
,N,,,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963,,,,,,,,,,
,N,,,2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2964,,,,,,,,,,
,N,,,2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2965,,,,,,,,,,
,N,,,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2966,,,,,,,,,,
,N,,,2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2967,,,,,,,,,,
,N,,,2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968,,,,,,,,,,
,N,,,2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969,,,,,,,,,,
,N,,fill out associated if we can find specimen ,2970,,Meconella,,oregana,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,page 13 HJ 27,,,,,,,
,Y,Y,,2971,1,Galium ,,parisiense,,,,,,,,,,,,,,,,,,,,,,,,,,,2971,,,page 23 HJ 27 ,,,,,,,
,,,"additional sheet with misc collections of lichen, moss. From Discovery Island I and Coldstream ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"some sort of grass. Does not fit description of 2961 being Yabea microcarpa, which has its own specimen - something wrong with number labelling",2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"only location. No date, but might be close to 2918, in 2003",,,Allium,,amplectens,,,,,,,,,,,Reginald Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,use comma instead semicolon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,write out perfecent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hard bracket when you can't decipher . Sic when someone spells wrong - ard to put in database - use hard bracketing and question marks associated species? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"for mounting, order by year and collection number ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,have a number in a sequence so that they can make sure it’s the right one - like a mounting number column ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,for things where it is northern range limit of population - super important to treat well for genetics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
