checkStatus,toDelete,dataEntryRemarks,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy
,n,NA,3,15,Epilobium watsonii,Epilobium watsonii,l,Epilobium ciliatum watsonii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,having trouble deciphering taxon name,3,33,Alopecurus geniculatus,Alopecurus geniculatus,l,Alopecurus geniculatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,cannot decipher comment next to name in brackets. Is that a suspected intraspecific epithet?,4,10,Pyrola aphylla,Pyrola aphylla,h,Pyrola aphylla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,NA,4,21,Orthocarpus pusillus,Orthocarpus pusillus,l,Triphysaria pusilla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,trouble deciphering taxon name,4,25,NA,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher specific epithet or tell if it is suggesting another genus instead,4,26,Potamogeton,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,in salt pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher specific epithet,4,31,Ranunculus,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,new species name not found in region,4,35,Juncus gracilis,Juncus gracilis,l,Marsippospermum gracile,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,unable to decipher specific epithet,6,3,Oenothera sarmentosa,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,NA,6,14,Potentilla,Potentilla,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Potentilla  cf. sp.,NA,NA,fen,NA,NA,fen far west of lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,"very rare in area, maybe I did not decipher name right?",6,35,Arabis hirsuta,Arabis hirsuta,l,Arabis hirsuta,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher genus name,7,7,G,[G] microcephala,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher genus name,7,9,G. purpurea,[G] purpurea,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher name it was replaced with,7,16,Linum valerian,NA,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,around old light keepers house,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-flowering,vegetative,NA,NA
,n,uncertain of updated name,10,2,Juncus gracilis,Juncus gracilis,h,Marsippospermum gracile,19810615,North Pender Island; Port Washington,Canada,British Columbia,North Pender Island,NA,NA,NA,wet meadow,"Stellaria calycantha, Daphne laureola, Hypochaeris radicata, Pyrola asarifolia, Sanguisorba minor, Veronica serpyllifolia, Trifolium campestre, Polygonum spergulariiforme, Brodia coronaria,  Lupinus bicolor, Agoseris heterophylla, Festuca rubra litoralis, Triteleia hyacinthina, Potentilla gracilis, Anthemis arvensis, Carex aurea, Lotus corniculatus","1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,y,cannot decipher taxon name,10,3,[Thalaspi arvense]?,NA,NA,NA,19810619,North Pender Island; Magic Lake Horse padoc,Canada,British Columbia,North Pender Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,NA,18,2,Vicia americana,Vicia americana,h,Vicia americana,19810728,Parker Island,Canada,British Columbia,Parker Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
