locality string,country,state,county,latitude,longitude,"correction 
                 status",precision,error polygon,multiple results,uncertainty,uncertainty (circular polygon)
Saturna Island; free school,Canada,British Columbia,Southern Gulf Islands,48.793668,-123.173221,yes,Medium(64),,"48.798827,-123.130774,(g3)Saturna Island|Unavailable|6869|Medium(64),48.783333,-123.15,SATURNA ISLAND|Unavailable|5421|Low(44),48.8,-123.2,SATURNA|Unavailable|301|Low(37)",7852,
Parker Island,Canada,British Columbia,Southern Gulf Islands,48.886111,-123.412222,yes,High(88),,"48.886111,-123.412222,PARKER ISLAND|Unavailable|5421|High(88),48.669722,-123.373611,KER ISLAND|Unavailable|5421|Low(27)",1959,
Metchosin; south shore of Matheson Lake,Canada,British Columbia,Metchosin,48.364009,-123.603889,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40)",723,
Metchosin; penninsula middle of south site of Matheson Lake,Canada,British Columbia,Metchosin,48.364152,-123.603331,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40)",457,
Metchosin; west end of Matheson Lake,Canada,British Columbia,Metchosin,48.365178,-123.611442,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),49.283333,-123.13333,WEST END|Unavailable|301|Low(38),49.2,-122.93333,WEST END|Unavailable|301|Low(38)",587 m,
Metchosin; north side of Matheson Lake,Canada,British Columbia,Metchosin,48.365805,-123.603546,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",587 m,
Metchosin; Blinkhorn Lake,Canada,British Columbia,Metchosin,48.3875,-123.576626,yes,High(69),,"67.751663,-136.039356,(g3)Horn Lake|Unavailable|1260|High(69),48.3875,-123.576111,BLINKHORN LAKE|Unavailable|587|Low(44),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),51.81,-124.697222,HORN LAKE|Unavailable|587|Low(26),49.319444,-119.72222,HORN LAKE|Unavailable|587|Low(26)",279,
Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Southern Gulf Islands,48.759662,-123.495236,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",1361,
Saltspring Island; 5.6 kilometer fen,Canada,British Columbia,Southern Gulf Islands,48.7587,-123.488842,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",5421,
Saltspring Island; Cusheon Lake,Canada,British Columbia,Southern Gulf Islands,48.815833,-123.467222,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",1167,
Saltspring Island; east end of Cusheon Lake,Canada,British Columbia,Southern Gulf Islands,48.811877,-123.45821,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",587 m,
Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Southern Gulf Islands,48.819563,-123.475891,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),59.866667,-132.5,NORTH|Unavailable|1189|Low(35),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",587 m,
Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Southern Gulf Islands,48.872358,-123.506609,yes,Low(34),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(34),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",1053,
Saltspring Island; Maxwell Lake,Canada,British Columbia,Southern Gulf Islands,48.822145,-123.543259,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",904,
Saltspring Island; lower end of Maxwell Lake,Canada,British Columbia,Southern Gulf Islands,48.821637,-123.543645,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",748,
Saltspring Island; Blackburn Lake,Canada,British Columbia,Southern Gulf Islands,48.821944,-123.484444,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.821944,-123.484444,BLACKBURN LAKE|Unavailable|587|Low(44),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28),51.464722,-120.728056,BURN LAKE|Unavailable|587|Low(26),54.334167,-123.340833,URN LAKE|Unavailable|587|Low(25)",447,
Texada Island; northwest point of Blubber Bay,Canada,British Columbia,Northern Gulf Islands,49.798892,-124.631945,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.8,-124.616667,BLUBBER BAY|Unavailable|3036|Low(41),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27),49.514444,-124.290833,WEST POINT|Unavailable|602|Low(27)",1840,
Texada Island; Gillies Bay; forest behind ball field,Canada,British Columbia,Northern Gulf Islands,49.680584,-124.477665,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.683333,-124.48333,GILLIES BAY|Unavailable|301|Low(41),49.666111,-124.478889,GILLIES BAY|Unavailable|647|Low(41),51.4,-116.483333,FIELD|Unavailable|3036|Low(35),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",273,
Sidney Island; south east corner to west,Canada,British Columbia,Southern Gulf Islands,48.608967,-123.296026,yes,Low(43),,"48.610556,-123.300833,SIDNEY ISLAND|Unavailable|5421|Low(43),48.65,-123.416667,SIDNEY|CAN:muni:448@PPL|2361|Low(37)",3116,
Sidney Island; west end sand bank shore,Canada,British Columbia,Southern Gulf Islands,48.631662,-123.3398,yes,Low(43),,"48.610556,-123.300833,SIDNEY ISLAND|Unavailable|5421|Low(43),49.2,-122.93333,WEST END|Unavailable|301|Low(38),49.283333,-123.13333,WEST END|Unavailable|301|Low(38),48.65,-123.416667,SIDNEY|CAN:muni:448@PPL|2361|Low(37)",3236,
"Mount Sutil, Galiano Island",Canada,British Columbia,Southern Gulf Islands,48.866695,-123.38333,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),48.866667,-123.38333,MOUNT SUTIL|Unavailable|301|Low(41),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",589,
Galiano,Canada,British Columbia,Southern Gulf Islands,48.930853,-123.448853,yes,High(82),,"50.883333,-127.75,GALIANO|Unavailable|5421|High(82)",13463,
Galiano Island; Mount Sutil,Canada,British Columbia,Southern Gulf Islands,48.866667,-123.38333,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),48.866667,-123.38333,MOUNT SUTIL|Unavailable|301|Low(41),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",887,
